date,open,high,low,close
2022-02-14,6991.63,7096.55,6961.30,7006.08
2022-02-15,7020.13,7125.10,6990.40,7124.85
2022-02-16,7164.23,7201.08,7132.08,7183.11
2022-02-17,7169.72,7265.03,7146.59,7220.61
2022-02-18,7174.59,7252.06,7164.27,7251.79
2022-02-21,7264.44,7334.91,7259.76,7334.59
2022-02-22,7310.66,7310.66,7212.27,7279.24
2022-02-23,7290.70,7450.40,7289.74,7450.40
2022-02-24,7414.47,7481.14,7174.78,7285.12
2022-02-25,7346.85,7435.40,7344.78,7361.96
2022-02-28,7370.43,7419.83,7291.08,7419.83
2022-03-01,7433.75,7454.90,7379.82,7429.44
2022-03-02,7400.95,7421.64,7341.83,7414.31
2022-03-03,7440.94,7446.47,7334.28,7342.61
2022-03-04,7300.00,7360.26,7219.64,7241.56
2022-03-07,7230.81,7230.81,7050.35,7085.73
2022-03-08,7089.51,7118.51,6824.03,6871.22
2022-03-09,6889.51,6925.55,6511.91,6796.04
2022-03-10,6946.58,7017.28,6914.89,6952.52
2022-03-11,6856.87,7001.60,6778.59,6990.78
2022-03-14,6938.22,6972.91,6800.59,6800.59
2022-03-15,6745.60,6790.24,6473.48,6473.48
2022-03-16,6586.82,6704.18,6330.41,6692.97
2022-03-17,6777.74,6934.49,6768.61,6818.54
2022-03-18,6792.32,6882.66,6773.46,6879.37
2022-03-21,6886.03,6983.52,6867.31,6954.41
2022-03-22,6938.97,6976.39,6893.65,6923.44
2022-03-23,6938.51,6989.72,6910.33,6966.95
2022-03-24,6934.13,6950.74,6847.17,6900.81
2022-03-25,6906.68,6939.87,6819.55,6819.81
2022-03-28,6772.44,6828.40,6692.91,6767.25
2022-03-29,6785.38,6808.88,6700.41,6725.68
2022-03-30,6750.00,6864.75,6734.07,6864.75
2022-03-31,6846.33,6846.33,6760.05,6772.07
2022-04-01,6723.26,6790.76,6688.70,6772.60
2022-04-06,6769.74,6769.74,6711.30,6764.29
2022-04-07,6736.34,6768.45,6623.59,6623.59
2022-04-08,6635.69,6644.76,6496.18,6575.28
2022-04-11,6544.29,6544.29,6297.39,6328.07
2022-04-12,6314.22,6414.50,6259.05,6414.42
2022-04-13,6381.78,6388.70,6286.25,6286.25
2022-04-14,6313.10,6388.56,6294.37,6359.71
2022-04-15,6328.23,6334.48,6229.41,6275.07
2022-04-18,6233.42,6339.11,6164.44,6326.02
2022-04-19,6324.42,6379.43,6304.25,6345.79
2022-04-20,6347.80,6351.64,6208.79,6234.25
2022-04-21,6206.18,6236.55,5966.03,5981.38
2022-04-22,5937.39,5965.41,5851.23,5891.81
2022-04-25,5776.18,5776.18,5431.61,5431.61
2022-04-26,5432.61,5483.03,5251.52,5266.55
2022-04-27,5192.50,5541.11,5164.75,5540.72
2022-04-28,5501.52,5578.62,5425.77,5493.91
2022-04-29,5534.17,5753.08,5517.72,5734.49
2022-05-05,5723.18,5884.38,5712.06,5836.93
2022-05-06,5690.14,5812.48,5665.93,5764.69
2022-05-09,5749.90,5857.71,5749.90,5840.89
2022-05-10,5761.85,5952.72,5746.72,5950.67
2022-05-11,5959.79,6147.86,5959.79,6003.03
2022-05-12,5971.21,6061.18,5964.83,6034.57
2022-05-13,6059.00,6079.16,6001.91,6071.67
2022-05-16,6110.99,6154.70,6057.32,6082.88
2022-05-17,6079.30,6120.84,6013.70,6118.46
2022-05-18,6124.38,6183.46,6103.63,6127.80
2022-05-19,6032.73,6180.19,6020.41,6180.19
2022-05-20,6203.91,6263.44,6176.13,6263.44
2022-05-23,6284.60,6345.00,6267.83,6343.47
2022-05-24,6343.89,6345.12,6081.64,6081.64
2022-05-25,6079.94,6188.27,6070.96,6188.27
2022-05-26,6195.21,6252.56,6095.75,6227.10
2022-05-27,6252.36,6283.72,6157.81,6210.09
2022-05-30,6231.64,6282.36,6171.74,6282.36
2022-05-31,6283.16,6356.55,6224.61,6353.35
2022-06-01,6332.39,6398.35,6316.58,6373.32
2022-06-02,6349.56,6449.97,6329.07,6442.93
2022-06-06,6449.55,6612.80,6449.24,6604.98
2022-06-07,6613.17,6631.32,6539.71,6597.83
2022-06-08,6594.92,6660.09,6474.23,6608.89
2022-06-09,6591.92,6591.92,6453.65,6490.38
2022-06-10,6446.81,6630.26,6438.80,6627.75
2022-06-13,6582.69,6683.91,6573.57,6674.80
2022-06-14,6607.12,6665.25,6460.43,6665.25
2022-06-15,6671.05,6759.38,6653.76,6653.76
2022-06-16,6651.20,6755.63,6651.20,6696.76
2022-06-17,6652.54,6782.49,6643.10,6774.74
2022-06-20,6787.34,6874.38,6783.62,6848.75
2022-06-21,6849.73,6854.92,6709.36,6779.14
2022-06-22,6781.87,6811.55,6688.39,6691.81
2022-06-23,6694.25,6845.45,6649.93,6845.45
2022-06-24,6865.36,6954.45,6862.46,6931.65
2022-06-27,6968.13,7012.12,6940.52,7002.93
2022-06-28,7001.26,7081.28,6956.30,7079.72
2022-06-29,7061.79,7075.52,6900.99,6900.99
2022-06-30,6909.74,7032.67,6909.74,6995.53
2022-07-01,6999.68,7039.85,6967.48,6994.50
2022-07-04,6985.05,7076.32,6928.40,7076.32
2022-07-05,7081.90,7098.57,6950.24,7036.00
2022-07-06,7014.45,7041.87,6890.93,6953.98
2022-07-07,6955.53,7053.45,6910.09,7041.87
2022-07-08,7067.03,7084.90,6990.74,7000.79
2022-07-11,6976.10,6976.10,6830.47,6893.63
2022-07-12,6891.58,6911.80,6779.56,6779.56
2022-07-13,6780.61,6855.07,6737.88,6834.90
2022-07-14,6823.09,6954.91,6809.10,6920.87
2022-07-15,6889.81,6966.04,6852.82,6852.82
2022-07-18,6868.30,6953.93,6839.13,6953.93
2022-07-19,6956.86,7033.25,6932.74,7009.32
2022-07-20,7028.79,7110.10,7019.51,7110.10
2022-07-21,7098.27,7134.22,7067.15,7075.29
2022-07-22,7081.56,7124.30,6969.43,7034.60
2022-07-25,7037.76,7068.34,6933.82,6948.91
2022-07-26,6949.19,7031.11,6901.93,7027.42
2022-07-27,7018.22,7109.54,7005.07,7099.43
2022-07-28,7138.32,7196.73,7112.74,7150.20
2022-07-29,7152.33,7179.47,7105.33,7117.43
2022-08-01,7100.71,7180.45,7055.61,7180.45
2022-08-02,7098.18,7098.18,6872.75,6957.98
2022-08-03,6968.29,7079.85,6893.52,6916.67
2022-08-04,6953.98,6977.39,6853.70,6960.31
2022-08-05,6975.89,7096.43,6961.65,7090.00
2022-08-08,7082.54,7176.48,7062.37,7176.11
2022-08-09,7168.96,7207.40,7131.34,7207.40
2022-08-10,7183.18,7231.43,7169.88,7212.08
2022-08-11,7241.73,7295.89,7212.40,7294.49
2022-08-12,7287.65,7311.89,7228.34,7228.83
2022-08-15,7218.09,7296.34,7215.20,7283.50
2022-08-16,7290.24,7356.11,7280.92,7324.62
2022-08-17,7330.48,7342.70,7280.57,7328.67
2022-08-18,7315.41,7358.71,7298.93,7351.44
2022-08-19,7353.43,7369.73,7234.41,7234.41
2022-08-22,7214.48,7289.31,7170.20,7288.58
2022-08-23,7275.38,7310.13,7267.79,7306.02
2022-08-24,7312.55,7315.10,7029.88,7039.41
2022-08-25,7065.34,7080.73,6930.84,7016.31
2022-08-26,7032.66,7103.83,6966.07,6980.18
2022-08-29,6884.73,7022.79,6858.43,7021.31
2022-08-30,7018.72,7025.46,6943.14,6976.72
2022-08-31,6954.51,6966.99,6738.52,6750.74
2022-09-01,6757.01,6819.62,6698.84,6717.10
2022-09-02,6731.67,6801.35,6695.10,6776.83
2022-09-05,6774.19,6831.22,6739.14,6791.09
2022-09-06,6808.87,6919.65,6780.44,6919.65
2022-09-07,6894.71,6989.75,6882.59,6963.52
2022-09-08,6965.56,6975.13,6889.86,6897.10
2022-09-09,6908.71,6918.20,6848.27,6913.58
2022-09-13,6935.59,6957.35,6886.36,6904.08
2022-09-14,6800.93,6851.09,6783.19,6829.56
2022-09-15,6859.25,6866.55,6543.20,6619.19
2022-09-16,6599.27,6632.56,6480.10,6481.24
2022-09-19,6468.39,6504.75,6364.07,6399.80
2022-09-20,6441.10,6536.42,6436.76,6482.13
2022-09-21,6461.25,6506.06,6378.63,6480.60
2022-09-22,6438.29,6554.30,6429.50,6487.27
2022-09-23,6486.79,6504.03,6306.96,6363.68
2022-09-26,6318.30,6404.01,6274.34,6283.59
2022-09-27,6302.89,6409.78,6287.77,6409.78
2022-09-28,6397.84,6401.84,6211.11,6211.11
2022-09-29,6270.91,6307.78,6192.77,6228.78
2022-09-30,6221.83,6241.96,6123.99,6124.86
2022-10-10,6136.71,6154.06,5964.62,5984.50
2022-10-11,5994.76,6044.28,5939.07,6017.72
2022-10-12,6017.67,6192.65,5918.02,6192.65
2022-10-13,6162.71,6311.51,6146.40,6252.22
2022-10-14,6296.35,6427.47,6286.67,6406.46
2022-10-17,6380.21,6476.40,6370.15,6472.45
2022-10-18,6490.60,6551.80,6447.78,6508.50
2022-10-19,6492.60,6533.57,6460.70,6461.15
2022-10-20,6431.99,6525.80,6342.15,6429.70
2022-10-21,6433.33,6469.09,6387.77,6432.33
2022-10-24,6448.87,6554.37,6335.07,6378.43
2022-10-25,6346.15,6411.17,6248.84,6355.78
2022-10-26,6358.06,6548.62,6348.99,6491.69
2022-10-27,6497.52,6544.42,6459.92,6461.61
2022-10-28,6412.61,6446.60,6216.27,6239.93
2022-10-31,6201.75,6349.12,6201.28,6292.62
2022-11-01,6299.03,6440.92,6277.62,6439.82
2022-11-02,6434.95,6557.01,6424.66,6524.51
2022-11-03,6467.23,6576.37,6461.30,6566.84
2022-11-04,6569.19,6719.51,6568.78,6709.64
2022-11-07,6713.73,6749.76,6660.98,6713.64
2022-11-08,6707.01,6708.08,6647.44,6694.96
2022-11-09,6694.40,6736.67,6664.37,6676.01
2022-11-10,6638.52,6663.11,6583.86,6603.31
2022-11-11,6749.07,6776.74,6641.76,6643.48
2022-11-14,6639.02,6688.01,6570.49,6599.67
2022-11-15,6593.63,6752.51,6576.87,6752.51
2022-11-16,6749.96,6775.38,6687.32,6702.04
2022-11-17,6685.94,6714.50,6629.90,6714.50
2022-11-18,6711.89,6752.84,6650.74,6658.40
2022-11-21,6622.60,6689.33,6585.28,6689.33
2022-11-22,6682.05,6692.24,6556.34,6583.23
2022-11-23,6572.16,6592.30,6451.96,6567.99
2022-11-24,6573.47,6611.80,6553.96,6586.86
2022-11-25,6573.02,6573.02,6508.52,6512.16
2022-11-28,6426.93,6494.98,6412.03,6492.71
2022-11-29,6505.90,6607.46,6505.90,6594.32
2022-11-30,6591.68,6619.27,6561.27,6590.31
2022-12-01,6645.47,6691.51,6639.63,6658.43
2022-12-02,6644.44,6721.69,6637.16,6680.54
2022-12-05,6710.73,6723.57,6675.60,6714.37
2022-12-06,6690.92,6731.07,6667.00,6703.55
2022-12-07,6684.61,6732.26,6677.52,6705.29
2022-12-08,6694.84,6699.30,6648.35,6662.34
2022-12-09,6661.90,6684.15,6626.94,6680.38
2022-12-12,6669.17,6680.61,6626.87,6655.67
2022-12-13,6654.67,6654.75,6586.87,6593.67
2022-12-14,6600.41,6626.70,6556.81,6570.02
2022-12-15,6557.90,6605.70,6545.00,6597.55
2022-12-16,6569.06,6581.93,6504.05,6519.44
2022-12-19,6518.38,6537.14,6367.45,6390.77
2022-12-20,6380.22,6389.05,6321.14,6341.58
2022-12-21,6341.22,6344.66,6255.35,6289.14
2022-12-22,6314.55,6319.57,6171.18,6186.93
2022-12-23,6154.66,6197.24,6120.94,6160.75
2022-12-26,6161.94,6276.11,6161.94,6275.52
2022-12-27,6288.61,6328.36,6256.04,6325.63
2022-12-28,6304.59,6306.95,6251.30,6268.47
2022-12-29,6253.79,6322.25,6245.23,6261.83
2022-12-30,6283.50,6296.24,6262.60,6281.62
2023-01-03,6286.81,6433.79,6275.69,6423.70
2023-01-04,6423.43,6445.62,6385.00,6421.28
2023-01-05,6427.45,6489.99,6413.75,6485.47
